,Caption,Brief Description,Algorithm,Jurisdiction,Application Areas,Cause of Action,Issues,Date Action Filed,New Activity,Link,Status
0,A.T. v. OpenAI LP,"Plaintiffs file lawsuit against OpenAI and related entities, alleging that their collection of data to train their generative AI products, including ChatGPT, Dall-E, and Vall-E, violates the Electronic Communications Privacy Act, the Computer Fraud and Abuse Act, the California Invasion of Privacy Act, the California Unfair Competition Law, and the New York General Business Law, and gives rise to causes of action for negligence, invasion of privacy, intrusion upon seclusion, larceny / receipt of stolen property, conversion, and unjust enrichment.",ChatGPT,Federal: US Dist. Ct. N.D. Ca.,Generative AI,"California Invasion of Privacy Act, Computer Fraud and Abuse Act, 18 USC 1030, Conversion, Electronic Privacy Communications Act, 18 USC 2510, Intrusion Upon Seclusion, Larceny / Receipt of Stolen Property, New York General Business Law, Negligence, Right to Privacy, Unjust Enrichment",Accountability,9/5/2023,9/5/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=101,Active
1,"ACLU v. Clearview AI, Inc.","Class transferred and consolidated into In re Clearview, complaint charged that Clearview violated violates BIPA. Sought injunctive relief and litigation costs, court considering motion to dismiss on April 2",Clearview,"State: Ill. Cir. Ct. (Cook County, Chancery Div.)",Facial Recognition,BIPA,Privacy,5/28/2020,5/11/2022,https://blogs.gwu.edu/law-eti/?page_id=10&pid=34,Closed (Settlement)
2,ACLU v. DOJ,"The ACLU of Massachusetts brought suit against the Department of Justice, Drug Enforcement Agency and the Federal Bureau of Investigation in response to the lack of response to their Freedom of Information Act Request for all policies, contracts and records relating to facial recognition and identifying program and technology.",,Federal: US Dist. Ct D. Massachusetts,"Constitutional Law, Facial Recognition","FOIA 5 U.S.C. § 552, Injunction","Facial Recognition, Privacy, Use of Race, Unreliability/Miscalculationns",10/31/2019,10/13/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=10,Active
3,"Aerotek, Inc. v. Boyd",Texas Supreme Court rules that e-signatures on new hire paperwork can compel arbitration for a company that was sued for racial discrimination,,State: Texas Circuit Court,"Employment, Hiring","Contracts, Arbitration",Use of Race,1/1/2018,7/1/2021,https://blogs.gwu.edu/law-eti/?page_id=10&pid=58,Active: On Remand
4,Andersen v. Stability AI Ltd.,"Three artists file class action lawsuit alleging copyright infringement, violation of rights of publicity, and other causes of action based on use of their visual art as training data for an artificial intelligence image generation tool.",Stable Diffusion,Federal: US Dist. Ct. N.D. Ca.,"Copyright, Generative AI, Intellectual Property","Copyright Infringement, Unfair Competition, Right of Publicity, 17 U.S.C. 1202 Removal of Copyright Management Information",Misuse of AI,1/13/2023,10/30/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=82,
5,Ark. Dep’t of Human Servs. v. Ledgerwood,"Low income plaintiffs with physical disabilities sued when the Department of Health Services replaced their nurse assessment questionaire ArPath to determine hours of care with Resource Utilization Groups, drastically reducing attendant-care hours allotted per patient, successfully challenged this rulemaking under the APA and court unanimously granted a permanent injunction",RUGs,State: Arkansas,"Disabilities Benefits, Health, Public Benefits","Administrative Procedure Act, Permanent Injunction, Preliminary Injunction","Justiciability, Lack of Remedy, Transparency in Change of Algorithm, Transparency/Trade Secrecy",1/26/2017,4/11/2019,https://blogs.gwu.edu/law-eti/?page_id=10&pid=15,Inactive: Judgement for P
6,Authors Guild v. OpenAI Inc.,"Authors organization and many individual authors file suit against OpenAI Inc. and affiliated entities,",ChatGPT,Federal: US Dist. Ct. S.D.N.Y.,Generative AI,Copyright Infringement,Copyright Infringement,9/9/2023,9/19/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=98,Active
7,Baker v. CVS Health Corporation,"A candidate interviewing for a position with CVS Health has alleged that he and other interviewees were subjected to an artificial intelligence-powered lie detector test without the appropriate notification, according to a class action complaint recently removed to the U.S. District Court for the District of Massachusetts.",,U.S. District Court for the District of Massachusetts,"Civil Rights, Employment, Generative AI, Hiring","Civil Rights, Permanent Injunction","Failure to Disclosure, Misuse of AI, Unaware of Use of Algorithm",6/30/2023,1/26/2024,https://blogs.gwu.edu/law-eti/?page_id=10&pid=115,Active
8,"Barrows et al v. Humana, Inc.","Plaintiffs who had post-acute care coverage terminated filed a class action complaint alleging that a national health insurance company’s reliance on artificial intelligence (AI) tools to deny certain medical claims under Medicare Advantage plans constituted breach of contract, breach of the implied covenant of good faith and fair dealing, unjust enrichment, and insurance bad faith. The improper usage of AI to make coverage decisions, while ignoring clinical determinations made by providers, can prevent patients from being able to afford critical treatments and harm patient health.",,US District Court for the Western District of Kentucky,"Civil Rights, Health","Breach of Contract, Breach of Implied Warranty, Contracts, Unjust Enrichment","Lack of Human Review, Functionality",12/12/2023,12/14/2023,https://blogs.gwu.edu/law-eti/?page_id=10&pid=112,Active
9,Barry v. Lyon,"Sixth Circuit affirmed reversing the automatic disqualification and inadequate notice of the Michigan's Department of Health and Human Services when they employed an algorithm that disqualified from food assistant benefits anyone with an outstanding felony warrant, including inaccurately accusing thousands",,Federal: US Dist. Ct. E.D. Michigan,"Criminal Justice, Food Assistance","Due Process, Supplemental Nutrition Assistance Program","Lack of Human Review, Lack of Remedy to prove innocence, Unreliability/Miscalculationns",7/1/2013,9/25/2016,https://blogs.gwu.edu/law-eti/?page_id=10&pid=20,Inactive
